variable_name	value	title	meaning	description
> enum	permissible_value	title	meaning	description
AbbreviationEntityType	cell_type			Abbreviation denotes a Cell Type entity.
AbbreviationEntityType	gene			Abbreviation denotes a Gene entity.
AbbreviationEntityType	anatomical			Abbreviation denotes a Anatomical Structure entity.
CellTypeSetType	taxonomic_level			Denotes CellTypeSet is at Taxonomic level.
CellTypeSetType	neighborhood			Denotes CellTypeSet is at Neighborhood level.
Region	str	STR		Striatum
Region	gpe	GPe		External Globus Pallidus
Region	gpi	GPi		Internal Globus Pallidus
Region	sn	SN		Substantia Nigra
Region	adj	Adj		Adjacent Regions
Region	sth	STH		Subthalamic Nucleus
