LinkML Class Name	LinkML Slot	Attribute Name	from_schema	Data Type	Definition	Nullable	Permissible Values	AIT Location	Notes
> class	slot	attribute	from_schema	range	description	ignore	ignore	ignore	ignore
>									
	accession_id			string	A provider-assigned accession identifier for a given entity.	FALSE		uns	
	order			integer	The priority or display order of an entity among all other entities of the same type.	TRUE		uns	
Cell	id		bican_biolink	string	Unique identifier for each individual cell.	FALSE		obs.index	explain: barcode_Cell_sample+barcode
Cell		cluster_id		string	Human-readable cluster label for the cluster assigned to this cell at a given annotation level.	FALSE		obs.<annotation_level>	String value; one per annotation level column; for object modeling derive via Cell.part_of_cluster → Cluster.annotated_as
Cell		load_id		string	Identifier for the sequencing library from which molecular measurements were derived.	TRUE		obs.load_id	it should be pointing to BarcodedCellSample, and the slot name should also change; nhash id should be used
Cell		assay		string	Human-readable sequencing modality (e.g. 10x 3' v3).	TRUE		obs.assay	
Cell		assay_ontology_term_id		string	EFO ontology term for assay (e.g. EFO:0009922 for 10x 3' v3).	TRUE		obs.assay_ontology_term_id	
Cell		anatomical_region		string	Human-readable name for the anatomical region from which the cell was collected.	TRUE		obs.anatomical_region	
Cell		anatomical_region_ontology_term_id		string	UBERON ontology term for anatomical region (e.g. UBERON:0000955 for brain).	TRUE		obs.anatomical_region_ontology_term_id	
Cell		brain_region_ontology_term_id		string	Brain atlas region ID from DHBA/HBA/MBA for the anatomical region.	TRUE		obs.brain_region_ontology_term_id	
Cell		suspension_type		SuspensionType	Whether the measurement was performed on intact cells, nuclei, or is not applicable.	FALSE	cell, nucleus, na	obs.suspension_type	
Cell		is_primary_data		boolean	True if this is the canonical instance of this cellular observation; False for reanalysis or secondary views.	FALSE		obs.is_primary_data	
CellTypeSet	id		bican_biolink	string	Unique identifier for this annotation level.	FALSE		uns.hierarchy	
CellTypeSet	name		bican_biolink	string	Name of this annotation level used as column header in obs (e.g. Class, Subclass).	FALSE		obs (col name) / uns.hierarchy	
CellTypeSet	order			integer	Integer rank of this annotation level in the hierarchy; lower values are broader types.	TRUE		uns.hierarchy	
CellTypeSet		cell_type_set_type		CellTypeSetType	A tag denoting whether this grouping represents a taxonomic level or neighborhood.	FALSE	taxonomic_level, neighborhood	uns	
CellTypeTaxon	id		bican_biolink	string	Unique identifier for this cell type taxon.	FALSE		uns	
CellTypeTaxon	name		bican_biolink	string	Human-readable label for this cell type taxon at the given annotation level (e.g. Glutamatergic).	FALSE		obs.<annotation_level>	
CellTypeTaxon	accession_id			string	Stable cross-version identifier for this cell type taxon (e.g. CS20230722_CLAS_11).	FALSE		uns.cell_type_accession_mapping	
CellTypeTaxon	order			integer	The priority or display order of this taxon among all taxons in the taxonomy.	TRUE		uns	
CellTypeTaxon		cell_type_ontology_term_id		string	CL ontology term for this cell type; use CL:0000003 for native cell if unknown.	TRUE		obs.cell_type_ontology_term_id	Scientifically a property of the cell type not the individual cell (Jeremy); stored per-cell in obs in AIT h5ad; README uses cell_type_ontology_term_id; AIT csv uses cell_type_ontology_term
CellTypeTaxon		number_of_cells		integer	The aggregated number of cells that defines this cell type taxon.	FALSE		uns.cluster_info	
CellTypeTaxonomy	id		bican_biolink	string	Unique identifier for this taxonomy.	FALSE		—	
CellTypeTaxonomy		title		string	Description differentiating this taxonomy from others in the same collection; should be unique within a collection.	FALSE		uns.title	BKE equivalent is name (e.g. AIT21.0)
CellTypeTaxonomy	accession_id			string	Provider-assigned accession identifier for this taxonomy (e.g. CCN20230722).	FALSE		uns.accession_id	
CellTypeTaxonomy		schema_version		string	Version of the AIT schema used to produce this file (e.g. 1.0.0).	FALSE		uns.schema_version	
CellTypeTaxonomy	content_url		bican_core	uri	Permanent URL to molecular data if the expression matrix is not embedded in the file.	TRUE		uns.dataset_purl	Moved to ExpressionMatrix.content_url; retained here for reference until model is finalized
CellTypeTaxonomy		batch_condition		string	Cell metadata key(s) in obs that define batches for normalization or integration.	TRUE		uns.batch_condition	Multivalued list of obs column names; no BKE equivalent
CellTypeTaxonomy		dendrogram		string	JSON-formatted hierarchical clustering dendrogram encoding the taxonomy hierarchy.	TRUE		uns.dendrogram	Stored as JSON; BKE encodes same structure via CellTypeTaxon.has_parent; retained for tooling
CellTypeTaxonomy		hierarchy		string	Ordered mapping of annotation level names to integer ranks; lower rank means broader type.	FALSE		uns.hierarchy	Stored as dict; overlaps with CellTypeSet.order; retained for tooling convenience
CellTypeTaxonomy		mode		string	Active taxonomy mode controlling which subset of cells and analysis components to use.	TRUE		uns.mode	Computed for analysis; Jeremy: folks can ignore
