SubGroup/LinkML Class Name	LinkML Slot or Attribute Name	Definition	Data Type	BICAN UUID	Aliases	Unit	Min Value	Max Value	Nullable	NIMP Terminology NHash	NIMP Local Variable Name	Local Variable Name Source	NIMP Resource Subgroup
> class	attribute	description	range	exact_mappings: {curie_prefix: bican}	ignore	unit: {inner_key: descriptive_name}	minimum_value	maximum_value	ignore	exact_mappings: {curie_prefix: NIMP}	local_names	local_names	ignore
>											inner_key: local_name_value	inner_key: local_name_source	
Donor	repository	If the brain is from NBB the NBB repository the brain belongs to	repository	408682ed-0e27-41e2-b9fa-f05674366d6e	Repository				TRUE	PD-NYNYAR61	repository	NIMP	General Subject Fields
Donor	donor_source	The source of the donor brain e.g. NBB/UM1 project/other	donor_source	0d0cf732-0f76-409d-9a73-7a96d829d3d3	Donor Source				FALSE	PD-TPTPPS27	donor_source	NIMP	General Subject Fields
Donor	ethnicity	Ethnicity of the donor	ethnicity	918370df-49f6-4361-9c52-f46b16412980	Ethnicity				TRUE	PD-JEJECK48	ethnicity	NIMP	General Subject Fields
Donor	race	Race of the donor	race	e515c009-550e-4f9c-b1b6-fc876a6fb2a8	Race				TRUE	PD-PRPRRP41	race	NIMP	General Subject Fields
Donor	secondary_race	Second race if available for the donor	race	192fe5b1-c812-4767-86fb-3178f9914705	Second Race				TRUE	PD-SESEQB42	second_race	NIMP	General Subject Fields
Donor	sex	Donor's sex at birth	sex	c819b9d5-2fde-40b2-bf0d-e07b56f96ac9	Sex at Birth				TRUE	PD-LXUBTM45	sex	NIMP	General Subject Fields
Donor	gender	Donor's gender at death	gender	1c71e775-65aa-442b-a392-1cf9a44e326e	Gender at Time of Death				TRUE	PD-KLKLJH33	gender	NIMP	General Subject Fields
Donor	sex_orientation	Donor's sexual orientation at death	sexual_orientation	e47e8a2f-72fb-4036-b288-f4580dc2aa4e	Sexual Orientation at Time of Death				TRUE	PD-HKHGTM45	sex_orientation	NIMP	General Subject Fields
Donor	age_of_death	Donor's age at death in years	integer	14eb923a-161d-45e2-889d-81fea7b632b6	Age Value (Years)	year	0	200	TRUE	PD-FTEMQD38	age_of_death	NIMP	General Subject Fields
Donor	birth_country_name	Donor's birth country	birth_country	9c27fd29-b512-492f-a32f-b615c7585ff7	Birth Country Name				TRUE	PD-SQSQDF25	birth_country_name	NIMP	General Subject Fields
Donor	primary_language	Donor's primary language	language	abe9edc7-96ca-4c6a-a1ed-c008548cc373	Primary Language Code				TRUE	PD-ATEVEV39	primary_language	NIMP	General Subject Fields
Donor	secondary_language	Donor's secondary language	language	37b7495f-b010-4d1c-ae32-9cb19c680950	Secondary Language Code				TRUE	PD-OBIUQB42	secondary_language	NIMP	General Subject Fields
Donor	marital_status	Donor's marital or partner status	marital_status	4f0e41c9-dd15-4a37-ae6b-11b7131d7cba	Marital or Partner Status ATOD				TRUE	PD-JCYJCN35	marital_status	NIMP	General Subject Fields
Donor	education_years_number	Number of years of education the donor had	integer	add3f7fe-ae60-4cc1-bb2e-72bbbe9a1a7d	Education Years Number	year	0	30	TRUE	PD-SJSJRC41	education_years_number	NIMP	General Subject Fields
Donor	handedness	Donor's handedness	handedness	82a4087c-d0e3-48ca-8bea-a81eefc683a0	Handedness				TRUE	PD-WGWGTM45	handedness	NIMP	General Subject Fields
Donor	confirmed_hbcac	Confirmation status of meeting inclusion criteria of the Human Brain Cell Atlas Collection at NBB	categorical	b6cdddf7-6f0b-4855-a0fa-16c2ab29f219	HBCAC Confirmation Status				TRUE	PD-YBLATM45	confirmed_hbcac	NIMP	General Subject Fields
Donor	age_at_death_value	Donor's age at death value	float	57e24d3c-c9c7-4ef3-9809-a35802d563ec	Age at Death Value				TRUE	PD-FTFTCP24	age_at_death_value	NIMP	General Subject Fields
Donor	age_at_death_unit	The unit of the value mentioned under "age_at_death_value"	categorical	b5436e99-f0a7-4c30-825d-56b88ee2ac1d	Age at Death Unit				TRUE	PD-AVAVEV39	age_at_death_unit	NIMP	General Subject Fields
Donor	age_at_death_reference_point	Reference point from which the donor's age at death was calculated	categorical	3bed1f94-9d82-4ed7-afdf-79d896b24dbb	Age at Death Reference Point				TRUE	PD-RARAGG39	age_at_death_reference_point	NIMP	General Subject Fields
Donor	donor_species	NCBI Taxonomy code of the donor species	categorical	6837cb02-6bd7-4fb8-838c-9062ead96ba4	Donor Species				FALSE	PD-HEHERP41	donor_species	NIMP	General Subject Fields
Donor	consent_status	Whether the type of consent is open or controlled	categorical	1a53e733-276f-421a-850d-eb46e50db972	Consent Status				TRUE	PD-CBCBWQ40	consent_status	NIMP	General Subject Fields
Donor	positive_test_result	Whether the donor has had a positive serology test result	categorical	0ef73629-5172-4517-a1f8-295be1603b80	The Indicator of Serology Test Positivity				TRUE	PD-PDZDNL63	positive_test_result	NIMP	General Subject Fields
Donor	access_level		categorical	60794406-316a-419b-98a7-5ea49f55392e	Access Level				TRUE	PD-JQJQFQ31	access_level	NIMP	General Subject Fields
Donor	data_use_limitation		categorical	aea2f9a4-ebc7-4dc6-97d3-cb517774966d	Data Use Limitation				TRUE	PD-DKDKOQ36	data_use_limitation	NIMP	General Subject Fields
Donor	disease_specification		categorical	47003dfa-c6a0-4302-998b-0be0fb64261f	Disease Specification				TRUE	PD-DSDSOQ36	disease_specification	NIMP	General Subject Fields
Donor	irb_approval_required		boolean	71ccc15c-0983-420b-9301-ad79d8372ff1	IRB Approval Required				TRUE	PD-JVJVFQ31	irb_approval_required	NIMP	General Subject Fields
Donor	publication_required		boolean	7eb1e5a1-a2f5-4ec7-aef3-e2d56ed56a6f	Publication Required				TRUE	PD-BGBGAD38	publication_required	NIMP	General Subject Fields
Donor	collaboration_required		boolean	95f7b929-6a9f-496d-9512-693397f48dad	Collaboration Required				TRUE	PD-ZAZADF25	collaboration_required	NIMP	General Subject Fields
Donor	not_for_profit		boolean	0dc07cdf-93a7-445b-9555-17d0249fe349	Not-for-profit Use Only				TRUE	PD-KNSTYJ57	not_for_profit	NIMP	General Subject Fields
Donor	methods		boolean	97ade474-302f-4f56-bad9-603c28a2a721	Methods				TRUE	PD-CRCRPG50	methods	NIMP	General Subject Fields
Donor	genetic_study_only		boolean	f7935a44-f816-4a61-ab57-96439447c63a	Genetic Study Only				TRUE	PD-LCLCPG50	genetic_study_only	NIMP	General Subject Fields
Donor	gsr_controlled_access		boolean	3bb3bf75-ec1d-4ab7-a6a4-28d9da85f948	Genomic Summary Results (GSR) Controlled Access				TRUE	PD-LJEAUS44	gsr_controlled_access	NIMP	General Subject Fields
Donor	donor_project	Donor Project	categorical	cd772fb0-a2fe-4df3-b2dd-b62370be37fc	Donor Project				FALSE	PD-HEHEQB42	donor_project	NIMP	General Subject Fields
Donor	donor_labs	Donor Labs	categorical	b97c384f-a556-42a2-a3c2-c31e5771f481	Donor Labs				TRUE	PD-APAPRP41	donor_labs	NIMP	General Subject Fields
Donor	death_causes_data_available	NIMP indicator for availability of the cause of death	categorical	e46e9d58-d982-4800-b7de-67f608951211	Cause Of Death Data Availability				TRUE	PD-FYUCNY46	death_causes_data_available	NIMP	General Subject Fields
Donor	rins_data_available	NIMP indicator for availability of RNA Integrity Number	categorical	d05825e6-b785-42a3-9bdf-c34b30e698b8	Rin Data Availability				TRUE	PD-JRJCAR61	rins_data_available	NIMP	General Subject Fields
Donor	rines_data_available	NIMP indicator for availability of RNA Integrity Number equivalent	categorical	28a5e912-570b-4a7f-87f2-36bd5db92090	Rine Data Availability				TRUE	PD-CJRWAR61	rines_data_available	NIMP	General Subject Fields
Donor	hemisphere	Hemisphere of the brain	hemisphere	68b7a28b-d695-4ec9-800b-6a27ca206081	Hemisphere				TRUE	PD-JRJRFQ31	hemisphere	NIMP	General Specimen Data
