LinkML Class	LinkML Slot Name	Data Type	Multivalued	Definition	Subsets	Proposed BICAN Field Name	BICAN UUID	Nullable	Permissible Values	Data Example	Min Value	Max Value	Unit	Statistical Variable Type 	Version Number	Version Date
> class	slot	range	multivalued	description	in_subset	ignore	slot_uri: {curie_prefix: bican}	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore
>					internal_separator: "|"											
DataCollection	name	string	FALSE	A human-readable, locally unique label that identifies a data collection.	projects_and_data_collections|bican	data collection name	f7b04e21-c12d-4b3d-ba0e-b1de6ac92dca	FALSE							1	10/9/24
DataCollection	title	string	FALSE	A long form title of a data collection. 	projects_and_data_collections|bican	data collection long form title	62208817-6a7f-4e70-9c4a-d262f43d82cc	FALSE							1	10/9/24
DataCollection	short_title	string	FALSE	A short form title of a data collection (fewer than 30 characters).	projects_and_data_collections|bican	data collection short form title	f5169355-52cf-4720-904f-946c92489faa	FALSE							1	10/9/24
DataCollection	description	string	FALSE	A description of a data collection that includes a specification of the license of the data collection. 	projects_and_data_collections|bican	data collection description	c5188587-2b4f-4889-ae93-224efdb803d2	FALSE							1	10/9/24
DataCollection	species	Species	TRUE	The common name of the species of the donor from which data were collected for this data collection.	projects_and_data_collections|bican	data collection species	7135fb76-5423-44da-ba52-4c33e8626033	FALSE	[Species CV]	Arctic ground squirrel					1	10/9/24
DataCollection	access_control	AccessControl	FALSE	The level of access specified for a data collection. 	projects_and_data_collections|bican	data collection access control	3880e926-d2fb-4960-bf61-4b5789e6c027	FALSE	open/controlled						1	10/9/24
DataCollection	completion_state	CompletionState	FALSE	A value that specifies whether or not additional data is being generated for a data collection. 	projects_and_data_collections|bican	data collection completion state	456513f2-0af8-45e1-b8f0-338636ed3f61	FALSE	in progress/complete						1	10/9/24
DataCollection	modality	Modality	TRUE	The modality of the data in a data collection. 	projects_and_data_collections|bican	data collection modality	480af9eb-0128-4602-9c8f-01416820cee3	FALSE	[Modality CV]	protein quantification					1	10/9/24
DataCollection	technique	Technique	TRUE	The technique that was used to acquire the data in a collection. 	projects_and_data_collections|bican	data collection technique	bee3bda8-c103-448f-8557-effcaca176bf	FALSE	[Techniques CV]	10x Chromium 3' v2 sequencing					1	10/9/24
DataCollection	citation	string	FALSE	A data citation for a data collection. 	projects_and_data_collections|bican	data collection citation	ea4729c6-df21-40db-8141-5af1d44ba75c	TRUE							1	10/9/24
